,airline_sentiment,text
67,0, your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
68,1, has getaway deals through May  from     one way. Lots of cool cities http   t.co tZZJhuIbCH CheapFlights FareCompare
69,1, has getaway deals through May  from     one way. Lots of cool cities http   t.co B Xi YG T  CheapFlights FareCompare
70,1, Have a great week sun with face airplane
71,1, come back to PHL already. We need you to take us out of this horrible cold. pleasecomeback http   t.co gLXFwP nQH
72,0, should I be concerned that I am about to fly on a plane that needs to be delayed due to a  tech stop ?
73,1, is the best airline I have flown on.Easy to change your reservation helpful representatives  amp  a comfortable flying experience
74,1, and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
75,1, your beautiful front end design is down right now  but it was cool to still book my ticket b c all your back end was secure.
76,1, Love the team running Gate E  at LAS tonight. Waited for a delayed flight  and they kept things entertaining
77,0, Use another browser!       amp  a brand with a reputation built on tech response doesn't have a cross browser compatible website?
78,0, And now the flight Flight Booking Problems site is totally down. Folks  what is the problem?
79,0, I like the customer service but a    min delay just for connecting passengers seems too long. VA   
80,1, thanks to your outstanding NYC JFK crew who moved mountains to get me home to San Francisco tonight!
81,1, you have the absolute best team and customer service ever. Every time I fly with you I'm delighted. Thank you!
82,0, i need to change my flight thats scheduled in   hours and     min wait time on phone. Im calling intern. Help!!
83,1, completely awesome experience last month BOS LAS nonstop. Thanks for such an awesome flight and depart time. VAbeatsJblue
84,0, you are failing your customers because your check in process does not link to TSA pre check.
85,0,  us too! Terrible airline! Just gave us a hotel hotline number and said sorry
86,0,  your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline Shame on you!
87,0, Another delayed flight? likingyoulessandless
88,0, I need to register a service dog for a first class ticket from SFO  gt  Dulles. The phone queue is an hour or longer. Pls advise
89,1, you ROCK for making it so I can watch Oscars on my flight!! redcarpet oscars oscars    
90,1, always!!! Xoxo
91,0, why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! frustrated
92,0, You'd think paying an extra      bucks RT for luggage might afford you hiring an extra hand at  lame
93,1, best customer service rep in the world! irmafromDallas takes the cake!!!
94,0, please provide status for flight    . I cant imagine it's on time as the Web indicates dude to weather here and or Dallas
95,1, you have amazing staff  amp  super helpful as I just ran the  PrincessHalf they have spoiled me with comfort!!!
96,0, I paid the premium to fly you across the country  you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face  
97,0, question is it not possible to book a seat for an infant under  ? It's not giving me the option but we want a seat for him.
98,1,Always have it together!!! You're welcome! RT   You're so welcome.
99,1, flight home to dc sunset globe in' backtowinter back to work! refreshed http   t.co VX vBCTdLf
100,0,. I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
101,0,. does that mean you don't have a policy for destroyed luggage?
102,1, thank you for checking in. tickets are purchased and customer is happy    
103,0, having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone. phone is    minute wait.
104,0, How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
105,0, I rang  but there is a wait for    minutes!! I can book the same ticket through a vendor  fix your site
106,0, got a flight  we were told  for      today.. checked my email and its for      TOMORROW. This is unacceptable.
107,0, our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule  told I could get a flight for today...     
108,0, why don't any of the pairings include red wine?! Only white is offered   redwineisbetter
109,0, is the website down?
110,0,   Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http   t.co  qsQMM KF 
111,0, I'm disappointed that the agent at the designated silver status check in line  Airport closed to assist all pasengers
112,0, Is it normal to receive no reply from Central Baggage baggageissues smh
113,0, at Logan airport and waiting to checkin for my  am flight. Checkin desk not open !!!!! Why?!
114,0, congrats  you just got all my business from EWR to SFO LAX. Fuck you  fl     SFO EWR was the clincher...
115,0, I applied over   weeks ago. Haven't heard back and I'm flying this week disappointed
116,1, Thank you for the follow
117,0,   too many apologies! You r the worse airlines! Don't even respond to your cudtomers
118,0, shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
119,0, too bad you say it takes    to    days via YOUR confirmation email. When I inquired after   weeks you claim   to   weeks!
120,0, Flight from BOS  gt  LAS tomorrow was Cancelled Flightled. No notification  wait times are    hour. Will you rebook on another airline?
121,1,smiling face with sunglasses RT  You ve met your match. Got status on another airline? Upgrade   restr  http   t.co RHKaMx VF . http   t.co PYalebgkJt
122,1, Only way to fly! Elevate Gold
123,0, a lot of  apologies  being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.
124,0, for all my flight stuff wrong and did nothing about it. Had worst flight ever
125,1, you will match my AmericanAirlines status? Cool!
126,0, trying to book a flight with you guys and your website won't let me... about to lose my business
127,0, you suck!
128,1, thanks!
129,0, Just DM'd. Same issue persisting.
130,0, Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
131,0, trying to book a flight  amp  your site is down beaming face with smiling eyes
132,0, You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
133,0, you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook disappointed. expected better
134,1, I love your guy's song! We're dancing to it for our high school dance revue
135,0, Your website is down and I'm trying to check in!
136,1, done! Thank you for the quick response  apparently faster than sitting on hold   
137,1, cool picture of another VirginAmerica plane off our wing. What a site! http   t.co  B agFd c 
138,1, Keep up the great work  
139,1, my goodness your people  field are amazing under pressure red heart from Texas beatstheothers in crisis Please fly me to NY
140,1, Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? seriously
141,1, Thanks so much for the awesome support  you guys rock!
142,0, seats in Row   don't recline should mention that on your website soreback
143,0, flight     delayed   hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
144,0, why Cancelled Flight flights today? No precipitation to be scared of! snowflake snowflake snowflake
145,1, twitter team. you guys killed it for rescheduling me asap. thank you!
146,0, You guys charged me      to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
147,0, can t access your website from Safari on iPhone  . Seems to work on Mac and iPad. Need iPhone to add Passbook.
148,0, your mobile site is broken  shows    header.elevateUser.numOfPointsAvailable    ' '   number   Points   won't let me checkin
149,0, I was really looking forward to my flight. can you let me know when it will be rescheduled? diehardvirgin
150,0, why Cancelled Flight flight VX   ? One sec its delayed  on my to airport  the next its Cancelled Flightled?Gonna email or call me to reschedule?
151,0, I did it but there was a problem in the link from the email for check in. thanks
152,0, had to change to another airline to get to DC today ... Why is  able to land in DC but not you? Cost me      ...ugh
153,0, I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
154,1, when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http   t.co enIQg buzj
155,1, wish I can afford to fly with you next Friday going back home.. love everything about your airline
156,0, how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? sad
157,0, hold times at call center are a bit much
158,1, Like http   t.co VPqEm  XUQ
159,0, Site down? help
160,1, You have the best flight attendant ever!!! http   t.co PxdEL nq l
161,1,Awesome! RT  Watch nominated films at        feet. MeetTheFleet Oscars http   t.co DnStITRzWy
162,1, thanks so much!
163,0, Trying to reset my password  email never arrives. Help?
164,1,  the only airline based in Silicon Valley! disruption FCmostinnovative incubator 's http   t.co wU LbCNcr 
165,1, Very nicely done. clapping hands
166,1, I m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink!   
167,0, What is the reason for the delay of the departure of VX     from JFK this afternoon?
168,0, is todays flight from Palm Springs  Ca to JFK in NY Cancelled Flightled?
169,1, hahaha face with tears of joy  YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!! growing heart
170,1, sounds like fun !
171,0, the CSS on your site is a     right now  please fix. Site unusable.
172,0, We're on flight     Vegas to Boston today  checked in online but our bag count didn't register. Can I fix that somehow?
173,1, classiq  luv Virgin America. Greetingz
174,0, Hi  I'm trying to do check in but the website is not working. I tried   different browsers and the problem continues
175,1, Thanks for your great customer service today  amp  for helping me get all my travel sorted out!
176,1, thanks guys! Sweet route over the Rockies airplanemodewason
177,1, love the   s music blasting at gate in Boston while waiting for flight to SanFrancisco. Only if I could get an iced coffee!
178,0,   the passenger in  D  Flt     that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to 
179,0, current bug on website shows  select departure city  when selecting destination city http   t.co SLLYIBE vQ
180,0, luggage was severely dented missing wheel coming off baggage claim in SAN. Luggage agent Miranda  I think  wasn't any help.
181,1, thank you for the easy itinerary shift for impending weather. Quick  painless  amp  free.
182,1, Thanks! Good times there and back! Vodkatonics the entire flight cocktail glass sfo
183,1,  you're doing a great job adding little luxuries aesthetics that improve the air travel experience. Thank you. Keep it up!
184,0, requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member unamused face
185,0, wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
186,0, there is something wrong with you website in Safari iPhone
187,1, thanks for gate checking my baggage on your full flight dfw lax     and giving me early boarding too sweet
188,0, Already checked in so the page expired X
189,0, Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
190,1, I see what you did there   
191,1, your inflight team makes the experience amazing!
192,1, cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http   t.co vC Keulg J
193,0, moved my seat with no notice.  Better seat  is cabin select not behind the row I selected thumbs down DISAPPOINTED
194,1, fav airline
195,1, we have a hot female pilot! Sweet! DCA to SFO!   
196,0, already contacted Central Baggage  amp  sent DM.  is charging me for the dress that was in the lost suitcase help
197,1, Thank you!!
198,0, Is there anything going on with the website? I've been getting a lot of errors past    minutes.
199,0,  I have just checked in flight to SFO from LAX  amp  been told as Atlantic Flying Club Gold I get no benefits?!
200,0, husband and I ordered three drinks via my screen and they never came. Awesome!
201,0, soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence   
202,0, Funny story  your website is broken  you have missing javascript and stylesheets on the checkin process. I dislike this!
203,1, would love to do more for virgin just like I do for 
204,0, I'm trying to check into my      AM CT flight tmm on the desktop website and it's not working  some sort of caching bug  SOS
205,0, Do you guys know your check in links from emails are broken? http   t.co  npXB oBMr
206,1, loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. sorrynotsorry
207,0, lost my luggage   days ago on flight VX     from LAX to IAD  amp  I'm calling every day  no response.Please give me back my stuff
208,0, The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
209,1, Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
210,1, I mean. Probably inappropriate while on board.. But  it's on!
211,1, happy to spend the day together. Let's do this!
212,1,. They were very understanding and helped me out. Thx! Comps
213,1, thank you! I absolutely will smiling face with sunglasses
214,0, Looks like a broken link for your assets https   t.co OArDjjGrrD
215,0, the manage itinerary section of your website seems to be broken for me https   t.co  pUJvCElNg
216,0, can't check in  your site looks like this every time it loads http   t.co kAcY AwDbW
217,0, Other carriers are less than half price for a round trip fare. I am stunned. http   t.co UKdjjijroW
218,0, WTF is happening in PDX Late Flight March such that one way from SFO is      ?
219,1, How about some free drinks on the flight back for the free promo?
220,1,  thanks!
221,0, my luggage is gone. I've filed my paperwork  promised a call email. Still no resolution or response from central luggage.
222,1, Thanks!
223,1, thanks for taking care of  on her flight!! rockstars travel
224,1, Thanks for the lovely soft views! travel SAN to SFO http   t.co CnctL G ef
225,0, I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
226,0, Just trying to book tickets to NYC and facing super fun broken styling. Don't worry  I'll keep trying  
227,0, Applied for Status Match on Feb  . Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly sad but relieved face
228,1, I adore you  and am so looking forward to my flight to Austin in two weeks.
229,1, I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.
230,0, trying to check in...but looks like your site is down?
231,0, spending my birthday night with you  DAL DCA. Get me home!
232,0, Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
233,1, first time flying Virgin  went to SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!
234,0, seriously  though. will there not be direct flights from SFO FLL in may???
235,0, It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back  
236,0, not really the experience I was hoping    I ws forced   check in a small carry on  w  nothing but empty cabin space on board
237,0, wjere is our luggage so slow at lax
238,0, I spoke with a representative that offered no solution  I am a loyal customer who flies on  as well
239,0, I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
240,0, what happened to direct flights from SFO FLL? Looking in May  only see connecting help dontdothistome
241,1, just promoting the product is all  had a problem with southwest and recommend noneother than the best! http   t.co tFaNXBh Cf
242,1, love you guys  but pls get some direct routes LAS to AUS!
243,1, of course! I work for  and I'm obsessed with the entire Virgin family!!
244,1, ok! first time flying with you tonight  
245,0, I have  d and  d embossed badges and patches superior to the ones you are currently using. http   t.co  fq XElbOn
246,0, on VX    from JFK to LA   dirty plane   not up to your standards.
247,0, on flight VX    headed to LA from JFK   dirtiest VA plane I have ever been on. Sad for a great airline.
248,1, got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. winking face
249,0, your Avis rental continue button doesn't work on your website to book car. Tried   times on phone. This sucks!
250,0, delayed to  .  !!
251,0, currently in minute    of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
252,1,   Of course. Have fun celebrating!  Thanks! Happy Chinese New Year!
253,1, Flight Booking Problems last second flight for next week from SFO  to SAN any chance you want to gift me a promo code since I love you guys
254,0, Comenity Bank is a joke! Please change. Nothing but constant problems with this bank
255,1, For my Grandma Ella's   th  she would  lt   a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.
256,1, Just bought tix for ATX   Dallas route   thanks for adding that! Love yr airline  amp  yr website is BEST transactional site EVER
257,1, gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!
258,0,  I submitted a status match request a while back and still haven t heard! I m flying on Monday. Can you look   accelerate?
259,1, had me at their safety video . . . http   t.co CqMm nuE m LOVED my first cross country flight. livewelltraveled sytycd
260,1, that doesn't look to fat to me! It looks yummy!
261,1, omg omg smiling face with heart eyes smiling face with heart eyes nonstop Dallas to Austin on virgin sparkles face screaming in fear airplane
262,1, Your planes are really pretty. Just thought u should know that.  
263,0, I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer help
264,1, thank you
265,0, Can I get some help with a support ticket? It's been    days.... Incident               Thank you!
266,1, good to be home texas moodlighting http   t.co N BVZTY zI
267,0, I cannot even open my laptop in seat  C and I paid a premium for this?!! Let me out of here!
268,0, I am in seat  C and I cannot even open my laptop  and I paid extra for this seat!!
269,1, thanks for that. Been needing a way to make those Austin trips from DCA  and now you've come through!
270,1, this is too cool! Never been on ur planes but now I will!!
271,1, great. Well deserved.
272,0, FYI the info.com email address you say to contact in password reset emails doesn't exist. Emails bounce.
273,0, Status match     weeks have gone by and no news.Flt next week   hope flt will count towards requirement. Cust Svc no help!!!
274,0, your website sucks donkey dicks. Just thought you should know. All best.
275,0, all crap channels which is why I pay to watch UK tv
276,1, got it. All set   Thanks!
277,1, Giants and Virgin America. A match made in heaven.
278,1, thank goodness!! Also  see you friday  nwk gt sf.. BOOM!
279,0, how come you don't have an iPhone app? Still using and making me waste paper.
280,0, Your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname. apostrophefail
281,0, When will VX use all   LGA slots instead of   today? Adding AUS makes this less likely  
282,1, I luv ur people and product!   thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker
283,1, thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!
284,0, sad to learn you no longer fly SFO  gt  PHL. Hope it returns!
285,1, has the most INCREDIBLE customer service I've ever experienced! So refreshing!
286,1,   am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?
287,1, OMG FINALLY
288,0, kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers
289,0, Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
290,1, thankyou the DAL AUS route makes my day!!!!
291,1, awesome deals DAL AUS for only     each way! https   t.co xCVQXYkg  
292,1, love it  taking  on in their backyard! Consumers win when biz competes.
293,1,   is flying from Love to Austin now. That is most excellent news.
294,1, Congrats VX on the new route! airplane party popper
295,0, I tried that. You offered to charge me an additional   k for a new ticket or be stranded until Thurs.  st time  last time.
296,0, Never had a bad experience before  but this one took the cake. Now extortion for carry on items as well?
297,0, Had to spend   hours worrying that items in carryon would be broken stolen since I couldn't carry them on plane or lock bag.
298,0, All of group E was told there was no more room in the bins. when I got on the plane  was room for at least   bags in my row!
299,0, Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate.    
300,0, I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over    minutes..........
301,1, I am all about the in flight artisanal cheese and wine pairing.
302,1, That's classy.
303,1, I'm sure a lot of your     and     JFK LHR flights go a lot faster than    mph with a strong tailwind.
304,1, now it's just t minus    minutes until my Elevate a Silver upgrade window opens . FreeNeverSucks grinning face with big eyes thumbs up
305,0, Why is it taking    years to fly home to Dallas? Get your shit together.
306,1,  would have been a rough trip but LUCKILY we were on a virginamerica flight. weather
307,1, another perfect flight. How come on your planes  the sun visors can stay down? Other carriers make you raise them?
308,1,Nice RT  The man of steel might be faster  but we have WiFi   just saying. ScienceBehindTheExperience http   t.co FGRbpAZSiX
309,1, I love the dancing little richard. cool beans.
310,1, I don t use Passbook    I still love you though  lt     I ll just use my email in the future.
311,1, thanks for the free birthday points! y'all are ALL RIGHT with me!
312,0, Man of steel flies to more cities though...and with more frequency too.
313,1, thanks so much for sharing. Just added it to my site http   t.co TsviBTvT h
314,1, Dad on Segway is the best part of this whole infographic!
315,1, Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys  
316,1, wifi AND better seating.
317,0, started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.
318,1,. not only was it great  but you return my calls the day after. Couldn't ask for more. myVXexperience
319,0, While other airlines weren't Cancelled Flighting flights into BOS  and helping their customers get home  Virgin was saying Good luck!
320,0, Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!
321,0, As one of the travelers affected by the Boston storm  I'm shocked at Virgin's complete apathy toward their customers.
322,0, Umm so no reason as to why this is? Is there someone different I should contact  or contact me  to get a definitive answer?
323,0, Trying to make the change in advance  not just    hours prior  tried it online earlier and it wanted      in change fees.
324,1, so loyal that I'm driving to NYC from PA  to fly Virgin  since you cut Philly flights   
325,1, you guys are perfect as always!  lt   WeRVirgin
326,1, thanks! Y'all have some of the best customer service left in the industry.
327,1, really wish you'd fly out of Fargo  those fares are amazings
328,0, mood lighting on point raising hands Reclining my seat  kickin up my feet ZZZ
329,0, my flight        scheduled for  pm departure still says on time but no plane at gate. Any update on how long of a delay?
330,0, my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for     ? Your reps were no help either enraged face
331,1, just got on the  pm in Newark home to LA. Your folks at EWR are incredible letsgohome
332,1, Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.
333,1, thanks
334,1, Thanks for taking care of that MR!! Happy customer.
335,0, still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.
336,0, Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service united
337,1, thanks    we filled it out. How's our luck with this? Is it common?
338,0, Your ERI ORD express connections are hugely popular .. now if only we could have an ERI EWR hop!  
339,0, you think you boarded flight AU     too early? I think so.
340,0, Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues  that would rock.
341,1, thanks
342,1, Thanks. It is on the same ticket.
343,0, is the worst. Nonrefundable First class tickets? Oh because when you select Global FC their system auto selects economy w upgrade.
344,0,  So I can buy tix   days before flight but can't transfer the tix. Flawed security logic. Flawed customer service
345,0, I did start a claim but      weeks is unrealistic  am I really supposed to go that long with out a car seat for my child.Ridiculous!
346,1, follow me please this airline is beautifull heart suit
347,0, if the car seat is lost  should just reimburse me for a new one  this is not a pair of shoes  it's a necessity for my child
348,0,  that totally sucks my cousin worked at PHL said 
349,1, just wanted to let you know how wonderful Rosetta the gate agent was working flight      Dan to Ase. Let her know she wasappreciated
350,0, beginning of Feb I called United they said they would send another voucher by mail. Never got anything. tiredofwaiting
351,0, the internet is a great thing. I am emailing executives in your company  maybe they will respond to me in a timely manner.
352,0, thats weak. See ya waving hand Hey  !!
353,0, I flew back w other company since United didnt have an earlier flight
354,0, I am trying to book awards for September and need flights on  but they will not show even w  many award seats availab
355,0, I sure did. I had to drive a total of   hours to get my own bag. I'd like to explain that debacle but no one wants to talk to me.
356,0, See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr. After we boarded  there was a defibrillator issue.
357,0, why no preferred security line anymore. My TSA pre check didn't pull on my  partner flight! Platinum spoiled
358,0, Newarkliberty Airport need to indicate different gate's for terminals A amp C. Flyingainteasy
359,0, yes please! I am newly married and trying to update my last name on a preexisting international flight! It seems so easy  but...
360,0, How does United refuse to reissue a      lost voucher when their plane didn't take off due to mechanics? badcustomerservice
361,0, also during the run I was instructed to do  I shattered my computer. http   t.co oAflfr WXB
362,0, yes  we've been with the agents for the last    minutes. One of the agents have been very rude  but thankfully Ladan has been nice.
363,0, iah to charlotte. Baggage claim rep latrice h. customerservice non existent  Ignored customer then inappropriately touched customer
364,1,   thanks for your help...got me what I need  but its an issue with   austrian . I guess I sit awhile longer.
365,0,    I would have loved to respond to your website until I saw the really long form. In business the new seats are bad
366,0, A refund and flight vouchers or another flight on a different airline at your expense for today.   hour drive is very inconvenient
367,0, then why have I not received my call back its been   days...it's an infant car seat how am I supposed to go anywhere with my child
368,0, well sitting on the ground 'on time' but waiting for a gate....again tiredofthis
369,1,  Airport snow removal method   ...  Keep up the good work folks  this is where Cessna's become    's! http   t.co  v tMUsJvU
370,0, No  I need you guys to not over book planes. It's not a concern  I'll just travel with someone else moving forward.
371,0, A measly     e certificate is not how you appreciate loyal customers after they wait  hrs on the tarmac during UA    . unacceptable
372,0, When will email address username sign on be available? It's been a while.
373,1, Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?
374,0, rude rude
375,0,   Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a   hour layover  amp  I am stuck outside sec
376,0,. ..I received on other flights. united truly breaks guitars. unitedbreaksguitars wantmymoneyback
377,0, just flew to TelAviv paid      from a third suitcase which didn't even make it on the plane! Besides for the impolite service...
378,0, My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome
379,0, Shame that there's no flex to tickets transfer rules. Even calling from Neurosurgery ICU isn't enough!
380,0, No. Denver said they don't handle baggage that made it to Colo. Springs. They gave me an     number to call. No help there either.
381,0, you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes
382,0, once he found out we had a problem he avoided me like the plague. Was told  we can't find a supervisor. 
